,lesionTipo,lesionRango,nAnimal,lesionPromedio,sexoAnimales,bursometro,condicionHigado,integridadintestinal,fecha,semana,granja,edadEnDias,ciclo,noGalpon,planVacuna,influenzaVacuna,newcastleVacuna,gumboroVacuna
0,Pierna Palida,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
1,Rasguños,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
2,Quemadura Cojinete,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
3,Lesion Cavidad Oral,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
4,Retención Saco Vitelino,0-1,1,1,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
5,Atrofia del Timo,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
6,Daño de Bursa,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
7,Necrosis Cabeza Femur,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
8,Discondroplasia Tibial,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
9,Traqueitis,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
10,Aerosaculitis,0-4,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
11,Cardiovascular,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
12,Erosión Molleja,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
13,Comedor de Cama,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
14,Proventriculitis,0-3,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
15,Intestinos Engrosados,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
16,Intestinos Adelgazados,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
17,E. Acervulina,0-4,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
18,E. Maxima,0-4,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
19,E. Tenella,0-4,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
20,Exceso de Moco,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
21,Exceso de Fluido,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
22,Descamación Celular,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
23,Tenias,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
24,Enteritis Necrotica,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
25,Pasaje de Alimento,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
26,Gas Cecal,0-2,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
27,Hiperemia,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
